grid_point, analysis_value, analysis_increment
[15, 11],5637.05822494598,8.62046722789637
[15, 12],5647.475826472347,12.39795448215773
[15, 13],5657.069014574915,17.48185059298976
[15, 14],5653.925219143857,10.696030578732461
[15, 15],5640.020128728484,-6.685224947507777
[15, 16],5625.62835665583,-25.503080233905166
[15, 17],5624.288236418087,-34.10101435172328
[15, 18],5652.371581559539,-19.02549691787044
[15, 19],5689.579441285369,-2.544112783163655
[15, 20],5732.436748704023,16.008885159722013
[15, 21],5774.509476540065,36.15168368324157
[16, 0],5175.025202398897,-71.38751303820936
[16, 1],5259.872642184136,-39.79421355024624
[16, 2],5351.469827510508,-16.781720722065074
[16, 3],5416.703705393198,-9.929520018053154
[16, 4],5454.1043149844645,-12.724803902735403
[16, 5],5483.354394579922,-19.839548942661168
[16, 6],5515.237377478176,-27.47552980240289
[16, 7],5548.267045828615,-30.256137281652627
[16, 8],5583.09958764596,-22.71425091484707
[16, 9],5616.612763336234,-9.76960582232823
[16, 10],5639.109433967438,-2.9389023649873707
[16, 11],5662.28768680134,8.716767964797327
[16, 12],5672.311704447903,9.645164987173303
[16, 13],5688.643498966719,17.209510614382452
[16, 14],5695.969133135768,15.694490428513745
[16, 15],5689.283208763332,0.7961676865725167
[16, 16],5688.604668264296,-7.691452524123633
[16, 17],5698.126325634434,-6.95211736962483
[16, 18],5719.568153546395,2.6658417789140003
[16, 19],5752.1371223842025,18.603722638484214
[16, 20],5788.309568651353,35.48027551807627
[16, 21],5823.377826966582,53.19402768828422
[17, 0],5220.528199472433,-51.09928391274207
[17, 1],5302.706153046738,-20.93691199203022
[17, 2],5379.162743323027,-3.8768354965732215
[17, 3],5432.602388976763,-3.36194674169019
[17, 4],5469.688290548012,-11.382167361742177
[17, 5],5502.005755958834,-25.800738044137688
[17, 6],5540.757157167167,-32.31099718735459
[17, 7],5572.868695797036,-33.28610168106934
[17, 8],5600.983721275584,-27.43029021882012
[17, 9],5634.500918656641,-11.318322135812195
[17, 10],5657.222041635171,-3.386746745659366
[17, 11],5680.312005827598,6.884305032329394
[17, 12],5695.658112814443,9.61245367709671
[17, 13],5713.520165440039,13.808932965926033
[17, 14],5729.064382989227,16.02074643142805
[17, 15],5737.4466049797475,13.116958073660498
[17, 16],5748.103822270594,14.299381040442313
[17, 17],5755.911748359021,13.10978519600667
[17, 18],5772.392275982482,19.557577401072194
[17, 19],5797.000052709947,31.782892857818297
[17, 20],5826.438932542835,47.225635658480314
[17, 21],5854.086811055805,62.181165086772126
[18, 0],5262.843292628452,-33.8474516166234
[18, 1],5340.933793322982,-4.136163110689267
[18, 2],5404.001028735638,4.6721897018032905
[18, 3],5450.468345275382,-3.803575095810629
[18, 4],5484.347872866715,-23.316562525869813
[18, 5],5528.546034530971,-30.951742393890527
[18, 6],5569.67305642615,-31.753900434258867
[18, 7],5597.587654460755,-30.924322893900353
[18, 8],5623.1252948472575,-23.543510178265024
